MatchId;Journee;Stade;Spectateurs;Date;home_team;away_team;home_goal;away_goal;home_possession;away_possession;home_duels_gagnes;away_duel_gagnes;home_duel_aeriens_gagnes;away_duel_aeriens_gagnes;home_interceptions;away_interceptions;home_hors_jeux;away_hors_eux;home_corners_won;away_corners_won;home_passes;away_passes;home_centres;away_centres;home_tirs;away_tirs;home_tirs_cadres;away_tirs_cadres;home_carton_jaune;away_carton_jaune;home_carton_rouge;away_carton_rouge;home_formation;away_formation 
71055;Journée 30;STADE DE LA MOSSON ET DU MONDIAL 98;17283;DIM. 9 AVRIL 2023- 15:00;MONTPELLIER HÉRAULT SC;TOULOUSE FC;1;2;50,6;49,4;48,2;51,8;45,7;54,3;5;8;1;1;4;3;420;414;18;11;15;15;8;8;0;2;0;0;2-2-2-3-1;3-2-2-2-1
71056;Journée 30;STADE DE LA BEAUJOIRE-LOUIS FONTENEAU;30050;DIM. 9 AVRIL 2023- 17:05;FC NANTES;AS MONACO;2;2;48,9;51,1;39,2;60,8;38,1;61,9;12;16;2;2;6;8;387;415;20;16;9;16;2;10;3;1;0;0;2-2-2-3-1;3-2-2-2-1
71057;Journée 30;ALLIANZ RIVIERA;34456;SAM. 8 AVRIL 2023- 21:00;OGC NICE;PARIS SAINT-GERMAIN;0;2;45,5;54,5;41;59;37,5;62,5;7;8;1;3;10;5;568;706;31;9;21;13;7;4;1;0;0;0;3-2-2-2-1;5-3-2
71058;Journée 30;STADE AUGUSTE-DELAUNE;12023;DIM. 9 AVRIL 2023- 15:00;STADE DE REIMS;STADE BRESTOIS 29;1;1;61,2;38,8;50,4;49,6;54,3;45,7;6;14;2;1;6;3;509;325;34;15;22;12;7;5;0;1;0;0;2-2-2-3-1;4-1-2-2-1
71059;Journée 30;STADE DE L'AUBE;7777;DIM. 9 AVRIL 2023- 15:00;ESTAC TROYES;CLERMONT FOOT 63;0;2;42,5;57,5;45,2;54,8;44;56;13;8;0;1;3;2;401;538;10;17;9;12;3;4;3;2;0;0;3-2-2-2-1;3-2-2-2-1
71060;Journée 31;STADE DE L'ABBÉ-DESCHAMPS;15714;DIM. 16 AVRIL 2023- 15:00;AJ AUXERRE;FC NANTES;2;1;30,7;69,3;42,5;57,5;47,2;52,8;11;10;0;2;3;6;253;568;13;30;13;17;7;7;2;2;0;0;3-2-2-2-1;4-1-2-2-1
71061;Journée 31;STADE FRANCIS-LE BLÉ;12615;DIM. 16 AVRIL 2023- 15:00;STADE BRESTOIS 29;OGC NICE;1;0;51,7;48,3;50;50;65,5;34,5;10;14;2;1;3;5;454;430;19;15;14;12;3;6;1;3;0;0;2-2-2-3-1;1-2-2-3-2
71062;Journée 31;STADE GABRIEL-MONTPIED;10789;DIM. 16 AVRIL 2023- 15:00;CLERMONT FOOT 63;ANGERS SCO;2;1;52,8;47,2;50,9;49,1;44,4;55,6;10;12;1;1;6;6;438;374;11;24;12;7;5;4;1;3;2;0;2-2-2-3-1;3-2-3-2
71063;Journée 31;DECATHLON ARENA – STADE PIERRE-MAUROY;34200;DIM. 16 AVRIL 2023- 13:00;LOSC LILLE;MONTPELLIER HÉRAULT SC;2;1;69,4;30,6;55,5;44,5;63;37;4;12;1;3;8;4;578;257;24;11;17;4;7;1;1;3;0;0;2-2-2-3-1;3-2-2-2-1
71064;Journée 31;ORANGE VÉLODROME;40;DIM. 16 AVRIL 2023- 20:45;OLYMPIQUE DE MARSEILLE;ESTAC TROYES;3;1;72;28;53;47;58,8;41,2;11;15;1;0;8;1;672;265;21;2;28;4;6;2;0;2;0;0;3-2-2-2-1;2-2-2-3-1
71065;Journée 31;STADE LOUIS-II;6930;DIM. 16 AVRIL 2023- 17:05;AS MONACO;FC LORIENT;3;1;46,4;53,6;49,1;50,9;63,6;36,4;10;13;3;0;5;3;466;555;26;14;11;7;7;4;0;1;0;0;2-2-2-2-2;4-1-2-2-1
71066;Journée 31;PARC DES PRINCES;47120;SAM. 15 AVRIL 2023- 21:00;PARIS SAINT-GERMAIN;RC LENS;3;1;62,4;37,6;52,4;47,6;62,5;37,5;8;5;1;1;3;10;738;421;4;25;15;14;7;7;0;0;0;1;3-5-2;2-2-2-3-1
71067;Journée 31;ROAZHON PARK;27936;SAM. 15 AVRIL 2023- 17:00;STADE RENNAIS FC;STADE DE REIMS;3;0;50,8;49,2;53,5;46,5;38,5;61,5;16;11;1;5;6;4;433;409;14;24;23;5;8;1;1;2;0;0;2-2-1-4-1;3-2-2-2-1
71068;Journée 31;STADE DE LA MEINAU;25130;DIM. 16 AVRIL 2023- 15:00;RC STRASBOURG ALSACE;AC AJACCIO;3;1;42,8;57,2;59,5;40,5;59,5;40,5;10;8;0;2;5;0;354;481;14;13;12;8;6;1;2;5;0;0;3-2-3-2;3-2-2-2-1
71069;Journée 31;STADIUM;28302;VEN. 14 AVRIL 2023- 21:00;TOULOUSE FC;OLYMPIQUE LYONNAIS;1;2;42,6;57,4;45,2;54,8;31,8;68,2;8;14;2;1;8;5;440;607;23;18;13;14;6;3;1;4;0;0;2-2-2-3-1;2-2-1-2-2-1
71070;Journée 32;STADE FRANÇOIS-COTY;6879;DIM. 23 AVRIL 2023- 15:00;AC AJACCIO;STADE BRESTOIS 29;0;0;43,2;56,8;47,1;52,9;44,4;55,6;8;13;2;1;4;4;354;459;16;28;3;10;2;2;2;2;1;0;2-2-2-2-2;4-1-2-2-1
71071;Journée 32;STADE RAYMOND-KOPA;16914;VEN. 21 AVRIL 2023- 21:00;ANGERS SCO;PARIS SAINT-GERMAIN;1;2;34,3;65,7;56,6;43,4;50;50;15;9;3;0;5;8;424;850;26;9;16;10;4;4;0;0;0;0;3-2-3-2;5-3-2
71072;Journée 32;STADE DE L'ABBÉ-DESCHAMPS;16779;SAM. 22 AVRIL 2023- 17:00;AJ AUXERRE;LOSC LILLE;1;1;30,1;69,9;48,3;51,7;60,9;39,1;10;4;2;3;4;4;284;679;12;16;8;14;4;6;0;1;0;0;3-2-2-2-1;3-2-2-2-1
71073;Journée 32;STADE BOLLAERT-DELELIS;38223;SAM. 22 AVRIL 2023- 21:00;RC LENS;AS MONACO;3;0;62,8;37,2;57,1;42,9;50;50;3;9;1;1;2;4;605;347;13;16;21;11;8;4;0;2;0;0;3-2-2-2-1;3-2-2-2-1
71074;Journée 32;STADE YVES-ALLAINMAT;15948;DIM. 23 AVRIL 2023- 15:00;FC LORIENT;TOULOUSE FC;0;1;53,4;46,6;48,4;51,6;50;50;8;17;0;1;2;7;527;468;22;14;9;13;1;4;3;2;0;0;3-2-2-2-1;3-2-2-2-1
71075;Journée 32;GROUPAMA STADIUM;57709;DIM. 23 AVRIL 2023- 20:45;OLYMPIQUE LYONNAIS;OLYMPIQUE DE MARSEILLE;1;2;60,1;39,9;48,6;51,4;46,9;53,1;14;9;2;3;5;3;540;360;18;11;7;14;2;7;2;1;0;0;2-2-1-2-2-1;2-2-2-3-1
71076;Journée 32;STADE DE LA MOSSON ET DU MONDIAL 98;15537;DIM. 23 AVRIL 2023- 17:05;MONTPELLIER HÉRAULT SC;STADE RENNAIS FC;1;0;30,4;69,6;48,4;51,6;58,6;41,4;14;5;2;0;4;4;260;598;15;30;11;16;2;4;3;2;1;0;2-2-2-3-1;4-1-2-2-1
71077;Journée 32;STADE DE LA BEAUJOIRE-LOUIS FONTENEAU;34082;DIM. 23 AVRIL 2023- 15:00;FC NANTES;ESTAC TROYES;2;2;53,7;46,3;55,1;44,9;60,6;39,4;15;8;1;2;13;4;467;427;49;11;19;9;9;4;1;1;0;0;2-2-2-2-2;2-2-2-3-1
71078;Journée 32;ALLIANZ RIVIERA;20578;DIM. 23 AVRIL 2023- 15:00;OGC NICE;CLERMONT FOOT 63;1;2;56;44;53,2;46,8;71,4;28,6;19;17;2;1;6;2;533;425;24;10;15;9;5;3;1;2;0;0;2-2-1-2-2-1;2-2-2-3-1
71079;Journée 32;STADE AUGUSTE-DELAUNE;13737;DIM. 23 AVRIL 2023- 13:00;STADE DE REIMS;RC STRASBOURG ALSACE;0;2;72,9;27,1;46,2;53,8;51,3;48,7;6;15;1;0;6;4;549;200;31;16;13;9;5;3;2;1;0;0;2-2-2-3-1;2-2-2-3-1
71080;Journée 33;STADE FRANCIS-LE BLÉ;14470;MER. 3 MAI 2023- 21:00;STADE BRESTOIS 29;FC NANTES;2;0;52,8;47,2;61,7;38,3;67,4;32,6;10;9;4;1;2;4;518;450;17;26;8;13;4;5;0;1;0;0;2-2-1-4-1;3-2-2-2-1
71081;Journée 33;STADE GABRIEL-MONTPIED;11446;DIM. 30 AVRIL 2023- 15:00;CLERMONT FOOT 63;STADE DE REIMS;1;0;32,8;67,2;53;47;46,7;53,3;12;6;1;3;6;8;290;589;13;27;8;16;2;3;0;2;1;0;3-2-2-2-1;3-2-2-2-1
71082;Journée 33;DECATHLON ARENA – STADE PIERRE-MAUROY;35490;SAM. 29 AVRIL 2023- 17:00;LOSC LILLE;AC AJACCIO;3;0;75,4;24,6;47,6;52,4;36,4;63,6;2;9;2;4;9;0;752;243;12;5;10;2;5;0;1;2;0;0;2-2-2-3-1;2-2-2-2-2
71083;Journée 33;ORANGE VÉLODROME;64523;DIM. 30 AVRIL 2023- 20:45;OLYMPIQUE DE MARSEILLE;AJ AUXERRE;2;1;70;30;61,5;38,5;62,2;37,8;10;10;2;0;12;1;519;235;48;9;25;11;4;3;1;0;0;0;3-2-2-2-1;2-2-2-3-1
71084;Journée 33;STADE LOUIS-II;6150;DIM. 30 AVRIL 2023- 13:00;AS MONACO;MONTPELLIER HÉRAULT SC;0;4;54,4;45,6;44,8;55,2;39,1;60,9;15;15;2;1;3;11;438;364;18;19;7;19;4;9;2;1;0;0;2-2-2-2-2;3-2-2-2-1
